nba_id,player,pos2,primary_pos,active,height_wo_shoes_in,wingspan_in,height_wingspan_diff_in,team,d_dpm
1626160,J.P. Tokoto,UNK,UNK,false,77.25,82,4.75,,
2452,J.R. Bremer,PG,PG,false,73.25,74.25,1,,
201592,J.R. Giddens,SF,SF,false,76,83.25,7.25,,
12226,JR Reynolds,UNK,UNK,false,72,75.25,3.25,,
2747,J.R. Smith,SG,SG,false,77.5,82,4.5,,
201950,Jrue Holiday,SG,SG,true,75.25,79,3.75,POR,-0.63
1630550,JT Thor,PF,PF,true,80.5,87.25,6.75,WAS,-0.78
1642356,JT Toppin,PF,PF,false,79,84.5,5.5,,
12115,Juan Mendez,UNK,UNK,false,77.25,84,6.75,,
1642361,Juan Nuñez,UNK,UNK,false,76,78.5,2.5,,
1641758,Judiah Mintz,UNK,UNK,false,75,75.5,0.5,,
1630577,Julian Champagnie,SG,SG,true,78.5,82,3.5,SAS,0.36
1641763,Julian Phillips,SG,SG,true,78.75,83.5,4.75,CHI,0.09
201324,Julian Sensley,UNK,UNK,false,79,83.5,4.5,,
1631124,Julian Strawther,SG,SG,true,77.75,81.5,3.75,DEN,-1.01
201153,Julian Wright,SF,SF,false,78.5,86.25,7.75,,
12022,Julius Doc Robinson,UNK,UNK,false,72,75.75,3.75,,
101125,Julius Hodge,SG,SG,false,78,84.5,6.5,,
203944,Julius Randle,PF,PF,true,79.75,84,4.25,MIN,-0.84
1626147,Justin Anderson,SF,SF,false,77.25,83.75,6.5,,
1630551,Justin Champagnie,SG,SG,true,77.75,81.5,3.75,WAS,-0.15
12209,Justin Doellman,UNK,UNK,false,80,80.75,0.75,,
1642348,Justin Edwards,SG,SG,true,78,82,4,PHI,-0.79
12080,Justin Hamilton,UNK,UNK,false,75,83,8,,
202712,Justin Harper,PF,PF,false,80,83.75,3.75,,
204211,Justin Jackson,UNK,UNK,false,79,82.75,3.75,,
1628992,Justin Jackson (UMD),UNK,UNK,false,77.75,87.25,9.5,,
1628382,Justin Jackson (UNC),SF,SF,false,79,83,4,,
1631171,Justin Lewis,SF,SF,false,78.25,86.5,8.25,,
2090,Justin Love,UNK,UNK,false,73.5,76.5,3,,
1628383,Justin Patton,C,C,false,82,87,5,,
200818,Justin Williams,C,C,false,79.25,85.5,6.25,,
1626159,Justise Winslow,PF,PF,false,76.5,82.25,5.75,,
