game_id,shooter_id,shooter_name,nearest_defender_id,nearest_defender_name,made,p_base,p_full,lift_vs_baseline,lift_vs_full
0022500313,202695,Kawhi Leonard,203952,Andrew Wiggins,0,0.565155,0.486385,-0.565155,-0.486385
0022500332,1630230,Naji Marshall,1630558,Davion Mitchell,0,0.407929,0.440749,-0.407929,-0.440749
0022500332,1631108,Max Christie,1629639,Tyler Herro,1,0.481184,0.445943,0.518816,0.554057
0022500332,202691,Klay Thompson,1641796,Pelle Larsson,1,0.529028,0.486941,0.470972,0.513059
0022500332,202691,Klay Thompson,1630696,Dru Smith,1,0.451932,0.386913,0.548068,0.613087
0022500332,202691,Klay Thompson,1630696,Dru Smith,0,0.438592,0.362975,-0.438592,-0.362975
0022500332,203076,Anthony Davis,1642276,Kel'el Ware,1,0.373917,0.409884,0.626083,0.590116
0022500332,202691,Klay Thompson,1630696,Dru Smith,1,0.484031,0.467009,0.515969,0.532991
0022500332,1630230,Naji Marshall,1629639,Tyler Herro,1,0.447863,0.370080,0.552137,0.629920
0022500332,1642948,Ryan Nembhard,1631323,Simone Fontecchio,1,0.426911,0.359591,0.573089,0.640409
0022500332,1642948,Ryan Nembhard,1630558,Davion Mitchell,1,0.381183,0.501315,0.618817,0.498685
0022500332,1631108,Max Christie,203952,Andrew Wiggins,0,0.558090,0.548320,-0.558090,-0.548320
0022500332,1642948,Ryan Nembhard,1641796,Pelle Larsson,1,0.428340,0.456265,0.571660,0.543735
0022500332,1631108,Max Christie,1630558,Davion Mitchell,1,0.500477,0.586399,0.499523,0.413601
0022500332,203076,Anthony Davis,1628389,Bam Adebayo,1,0.339101,0.315227,0.660899,0.684773
0022500332,1630230,Naji Marshall,203952,Andrew Wiggins,0,0.386470,0.351975,-0.386470,-0.351975
0022500332,202691,Klay Thompson,1629639,Tyler Herro,1,0.570232,0.495217,0.429768,0.504783
0022500332,1630314,Brandon Williams,1630696,Dru Smith,0,0.307855,0.321673,-0.307855,-0.321673
0022500332,1626156,D'Angelo Russell,1631170,Jaime Jaquez Jr.,1,0.343781,0.366118,0.656219,0.633882
0022500332,1626156,D'Angelo Russell,1631323,Simone Fontecchio,1,0.381249,0.385415,0.618751,0.614585
0022500332,202691,Klay Thompson,1629639,Tyler Herro,1,0.559227,0.437362,0.440773,0.562638
0022500332,202691,Klay Thompson,1629639,Tyler Herro,0,0.504005,0.371469,-0.504005,-0.371469
0022500332,1626156,D'Angelo Russell,1631170,Jaime Jaquez Jr.,0,0.333763,0.379222,-0.333763,-0.379222
0022500332,1630230,Naji Marshall,1631170,Jaime Jaquez Jr.,1,0.416663,0.481002,0.583337,0.518998
0022500513,1630162,Anthony Edwards,1630558,Davion Mitchell,1,0.486800,0.576806,0.513200,0.423194
0022500513,1628978,Donte DiVincenzo,203952,Andrew Wiggins,0,0.478564,0.563111,-0.478564,-0.563111
0022500513,1628978,Donte DiVincenzo,203952,Andrew Wiggins,0,0.382353,0.379864,-0.382353,-0.379864
0022500513,1630162,Anthony Edwards,1630558,Davion Mitchell,1,0.545312,0.592597,0.454688,0.407403
0022500513,203944,Julius Randle,1628389,Bam Adebayo,0,0.355983,0.255025,-0.355983,-0.255025
0022500513,1628978,Donte DiVincenzo,203952,Andrew Wiggins,0,0.428252,0.459435,-0.428252,-0.459435
0022500513,1630183,Jaden McDaniels,1626181,Norman Powell,0,0.533067,0.552865,-0.533067,-0.552865
0022500513,1629675,Naz Reid,1631107,Nikola Jovic,0,0.421885,0.316324,-0.421885,-0.316324
0022500513,1630538,Bones Hyland,1641796,Pelle Larsson,0,0.460470,0.486315,-0.460470,-0.486315
0022500513,1629675,Naz Reid,1629639,Tyler Herro,1,0.483073,0.536592,0.516927,0.463408
0022500513,1630538,Bones Hyland,203952,Andrew Wiggins,0,0.445056,0.433453,-0.445056,-0.433453
0022500513,1630162,Anthony Edwards,1641796,Pelle Larsson,1,0.517197,0.571956,0.482803,0.428044
0022500513,1630162,Anthony Edwards,1641796,Pelle Larsson,0,0.565640,0.511859,-0.565640,-0.511859
0022500513,1628978,Donte DiVincenzo,1626181,Norman Powell,0,0.474172,0.428590,-0.474172,-0.428590
0022500513,1628978,Donte DiVincenzo,1629639,Tyler Herro,1,0.446322,0.525361,0.553678,0.474639
0022500513,1630162,Anthony Edwards,1630558,Davion Mitchell,1,0.532125,0.653043,0.467875,0.346957
0022500513,1628978,Donte DiVincenzo,1630558,Davion Mitchell,1,0.446236,0.500513,0.553764,0.499487
0022500513,1630162,Anthony Edwards,1630558,Davion Mitchell,0,0.537183,0.528035,-0.537183,-0.528035
0022500513,1630162,Anthony Edwards,1626181,Norman Powell,1,0.578210,0.485945,0.421790,0.514055
