unmatched_type,game_file,game_id,opponent,period,shooter_id,shooter_name,release_frame,release_game_clock,release_shot_clock,contest_distance_ft,shot_contest_quality,pbp_shot_result,pbp_conclusion_game_clock,pbp_description
tracking_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,2,201142,Kevin Durant,201575,1:44,4.3,4.872,52.9,NA,NA,NA
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,1,1642263,Reed Sheppard,NA,NA,NA,NA,NA,Made,10:08,R. Sheppard 25' 3PT running (3 PTS) (K. Durant 1 AST)
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,2,1628988,Aaron Holiday,NA,NA,NA,NA,NA,Missed,10:36,MISS A. Holiday 24' 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,2,1628988,Aaron Holiday,NA,NA,NA,NA,NA,Missed,9:13,MISS A. Holiday 24' 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,2,1627827,Dorian Finney-Smith,NA,NA,NA,NA,NA,Missed,8:07,MISS D. Finney-Smith 26' 3PT - blocked
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,2,201145,J. Green,NA,NA,NA,NA,NA,Missed,3:39,MISS J. Green 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,3,1642263,Reed Sheppard,NA,NA,NA,NA,NA,Missed,11:03,MISS R. Sheppard 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,201145,J. Green,NA,NA,NA,NA,NA,Missed,10:35,MISS J. Green 26' 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,1642263,Reed Sheppard,NA,NA,NA,NA,NA,Missed,9:50,MISS R. Sheppard 28' 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,201142,Kevin Durant,NA,NA,NA,NA,NA,Missed,6:16,MISS K. Durant 26' pullup 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,1631106,Tari Eason,NA,NA,NA,NA,NA,Missed,5:43,MISS T. Eason 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,201142,Kevin Durant,NA,NA,NA,NA,NA,Missed,2:31,MISS K. Durant 25' 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,1642263,Reed Sheppard,NA,NA,NA,NA,NA,Missed,2:06,MISS R. Sheppard 25' 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,201142,Kevin Durant,NA,NA,NA,NA,NA,Missed,1:53,MISS K. Durant 25' step back 3PT
