game_file,opponent,frame,period,game_clock,shot_clock,shooter_id,shooter_name,shooter_team,shooter_dist_to_rim_in,rim_x,rim_y,release_ball_x,release_ball_y,release_ball_z,min_ball_rim_3d_in,nearest_defender_id,nearest_defender_name,contest_distance_ft,closeout_speed_ft_s,closeout_delta_ft_500ms,contest_angle_deg,hand_up_in,shot_contest_quality
nba_game_0022500296_processed.parquet,Pistons,296039,3,4:17,12,1629130,Duncan Robinson,Pistons,311.92,516.0,0.0,306.708,219.805,90.101,11.54,1630558,Davion Mitchell,11.512,10.162,5.081,167.81,13.76,41.47
nba_game_0022500296_processed.parquet,Pistons,322004,3,31.4,18,1631093,Jaden Ivey,Pistons,351.48,516.0,0.0,217.57,155.598,92.959,12.17,1641796,Pelle Larsson,9.318,2.959,1.479,164.51,11.93,23.43
nba_game_0022500296_processed.parquet,Pistons,337943,4,11:18,6,202699,Tobias Harris,Pistons,274.85,516.0,0.0,506.46,262.382,91.527,11.86,203952,Andrew Wiggins,19.218,5.495,2.747,110.92,0.69,21.18
nba_game_0022500296_processed.parquet,Pistons,355850,4,8:32,15,202699,Tobias Harris,Pistons,304.76,516.0,0.0,318.081,216.771,91.794,12.05,1641796,Pelle Larsson,7.245,8.985,4.492,145.69,3.44,42.51
nba_game_0022500296_processed.parquet,Pistons,418320,4,2:12,3.8,202699,Tobias Harris,Pistons,277.41,516.0,0.0,537.768,263.458,91.94,7.61,203952,Andrew Wiggins,8.327,12.811,6.406,163.01,44.95,50.86
nba_game_0022500313_processed.parquet,Clippers,1123,1,11:43,8,1628381,John Collins,Clippers,269.6,516.0,0.0,509.159,265.766,92.415,10.79,1626181,Norman Powell,4.693,12.438,6.219,136.78,42.92,63.57
nba_game_0022500313_processed.parquet,Clippers,4797,1,10:53,13,1628381,John Collins,Clippers,271.05,516.0,0.0,500.225,-266.334,91.042,8.64,1628389,Bam Adebayo,8.883,13.081,6.541,151.29,38.0,48.91
nba_game_0022500313_processed.parquet,Clippers,12881,1,9:05,20,1627739,Kris Dunn,Clippers,347.99,516.0,0.0,211.729,-84.911,91.94,14.07,1628389,Bam Adebayo,6.682,-6.645,-3.322,156.25,4.58,15.43
nba_game_0022500313_processed.parquet,Clippers,18689,1,8:44,16,201935,James Harden,Clippers,325.14,516.0,0.0,199.441,56.809,91.828,12.03,1626181,Norman Powell,9.576,-6.088,-3.044,172.11,32.34,16.48
nba_game_0022500313_processed.parquet,Clippers,48283,1,5:09,10,1627739,Kris Dunn,Clippers,284.11,516.0,0.0,443.136,266.367,90.359,10.97,1630558,Davion Mitchell,9.185,14.486,7.243,156.76,41.86,47.85
nba_game_0022500313_processed.parquet,Clippers,80859,1,2:09,7,1641738,Kobe Brown,Clippers,317.86,516.0,0.0,235.973,-126.098,91.447,9.47,1631170,Jaime Jaquez Jr.,7.437,13.087,6.544,170.57,45.45,53.97
nba_game_0022500313_processed.parquet,Clippers,129674,2,8:50,11,201587,Nicolas Batum,Clippers,314.58,516.0,0.0,265.637,-176.062,91.34,13.45,1641796,Pelle Larsson,6.593,14.032,7.016,145.58,42.04,56.93
nba_game_0022500313_processed.parquet,Clippers,174635,2,4:12,10,202695,Kawhi Leonard,Clippers,310.59,516.0,0.0,339.93,243.02,92.099,10.34,1626181,Norman Powell,6.086,13.381,6.69,149.26,44.63,58.7
nba_game_0022500313_processed.parquet,Clippers,187505,2,3:43,11,201935,James Harden,Clippers,314.62,516.0,0.0,350.875,-261.752,91.334,7.84,1630558,Davion Mitchell,2.995,5.537,2.768,130.95,4.61,49.12
nba_game_0022500313_processed.parquet,Clippers,200555,2,2:11,9,1642920,Kobe Sanders,Clippers,324.16,516.0,0.0,293.668,223.301,92.879,11.24,1630558,Davion Mitchell,7.846,4.572,2.286,133.27,4.07,28.07
nba_game_0022500313_processed.parquet,Clippers,216672,2,29.8,15,201935,James Harden,Clippers,336.62,516.0,0.0,199.702,103.818,91.557,11.65,1631170,Jaime Jaquez Jr.,4.596,0.756,0.378,173.5,44.37,36.75
nba_game_0022500313_processed.parquet,Clippers,250185,3,9:18,15,1642353,Cam Christie,Clippers,306.21,-516.0,0.0,-212.499,-4.05,91.48,7.27,1629639,Tyler Herro,9.314,-3.563,-1.782,166.62,11.26,11.79
nba_game_0022500313_processed.parquet,Clippers,263446,3,6:58,14,1642920,Kobe Sanders,Clippers,302.49,-516.0,0.0,-393.835,271.273,90.422,17.15,1626181,Norman Powell,7.777,12.625,6.313,179.65,44.16,52.78
nba_game_0022500313_processed.parquet,Clippers,281412,3,5:10,19,101108,Chris Paul,Clippers,280.28,-516.0,0.0,-508.581,-273.627,91.643,16.1,203952,Andrew Wiggins,6.296,12.946,6.473,151.88,32.92,57.96
nba_game_0022500313_processed.parquet,Clippers,286312,3,3:48,6,101108,Chris Paul,Clippers,329.35,-516.0,0.0,-192.235,-31.323,91.278,9.77,1631170,Jaime Jaquez Jr.,5.179,0.52,0.26,175.3,40.22,33.82
nba_game_0022500313_processed.parquet,Clippers,295440,3,1:54,18,202695,Kawhi Leonard,Clippers,313.76,-516.0,0.0,-227.976,107.511,90.163,12.2,1631170,Jaime Jaquez Jr.,4.88,4.057,2.028,177.96,43.08,48.13
nba_game_0022500313_processed.parquet,Clippers,297149,3,1:25,18,1642353,Cam Christie,Clippers,277.76,-516.0,0.0,-505.101,275.349,90.519,12.12,1631323,Simone Fontecchio,7.015,8.099,4.049,163.92,44.59,55.45
nba_game_0022500313_processed.parquet,Clippers,304311,3,33.1,9,202695,Kawhi Leonard,Clippers,351.43,-516.0,0.0,-195.4,125.574,91.449,9.49,1631170,Jaime Jaquez Jr.,5.02,4.974,2.487,177.98,40.78,51.08
nba_game_0022500313_processed.parquet,Clippers,333635,4,8:55,11,1628381,John Collins,Clippers,270.25,-516.0,0.0,-510.98,-264.448,90.471,8.33,1631323,Simone Fontecchio,13.917,9.355,4.678,130.55,9.1,37.58
nba_game_0022500313_processed.parquet,Clippers,348730,4,8:10,7,201587,Nicolas Batum,Clippers,303.79,-516.0,0.0,-340.297,239.633,90.08,11.04,1629639,Tyler Herro,11.112,-9.939,-4.969,65.38,3.17,8.12
nba_game_0022500313_processed.parquet,Clippers,365060,4,5:44,6,202695,Kawhi Leonard,Clippers,306.03,-516.0,0.0,-386.354,269.323,90.202,11.49,1630558,Davion Mitchell,4.425,2.762,1.381,178.28,40.05,44.87
nba_game_0022500313_processed.parquet,Clippers,377892,4,5:08,6,202695,Kawhi Leonard,Clippers,281.93,-516.0,0.0,-445.867,264.726,90.58,9.84,203952,Andrew Wiggins,5.041,2.28,1.14,174.23,33.72,40.91
nba_game_0022500332_processed.parquet,Mavericks,18197,1,9:24,12,1630230,Naji Marshall,Mavericks,276.03,-516.0,0.0,-528.732,-272.832,90.977,13.15,1630558,Davion Mitchell,4.976,9.796,4.898,147.04,36.67,62.58
nba_game_0022500332_processed.parquet,Mavericks,20516,1,8:58,18,1642843,Cooper Flagg,Mavericks,296.71,-516.0,0.0,-262.995,150.974,90.435,11.3,1641796,Pelle Larsson,10.008,5.105,2.552,83.06,4.5,24.43
nba_game_0022500332_processed.parquet,Mavericks,33266,1,7:08,16,1631108,Max Christie,Mavericks,330.37,-516.0,0.0,-192.4,-32.116,91.851,11.91,1629639,Tyler Herro,5.987,16.566,8.283,132.41,40.86,59.05
nba_game_0022500332_processed.parquet,Mavericks,50074,1,5:33,11,202691,Klay Thompson,Mavericks,305.29,-516.0,0.0,-302.84,-214.349,90.704,10.54,1641796,Pelle Larsson,4.498,11.436,5.718,148.94,44.75,64.26
nba_game_0022500332_processed.parquet,Mavericks,58572,1,3:54,18,202691,Klay Thompson,Mavericks,325.28,-516.0,0.0,-295.551,-235.1,91.088,9.88,1630696,Dru Smith,4.743,13.583,6.792,150.7,15.33,61.17
nba_game_0022500332_processed.parquet,Mavericks,63173,1,3:33,15,202691,Klay Thompson,Mavericks,350.23,-516.0,0.0,-178.723,-74.959,90.18,9.81,1630696,Dru Smith,3.884,10.601,5.301,125.56,40.32,66.41
nba_game_0022500332_processed.parquet,Mavericks,89120,1,1:39,1.1,202691,Klay Thompson,Mavericks,285.4,-516.0,0.0,-409.335,-260.236,90.088,7.69,1629639,Tyler Herro,5.806,6.773,3.387,148.66,34.71,55.08
nba_game_0022500332_processed.parquet,Mavericks,125483,2,10:40,6,203076,Anthony Davis,Mavericks,277.39,-516.0,0.0,-491.804,277.936,90.29,13.49,1642276,Kel'el Ware,9.18,13.474,6.737,174.54,27.76,47.87
nba_game_0022500332_processed.parquet,Mavericks,127660,2,10:17,20,202691,Klay Thompson,Mavericks,303.8,-516.0,0.0,-359.792,257.124,91.362,15.1,1630696,Dru Smith,6.732,12.1,6.05,132.86,22.82,56.44
nba_game_0022500332_processed.parquet,Mavericks,141587,2,7:24,5,1630230,Naji Marshall,Mavericks,270.77,-516.0,0.0,-501.608,265.368,91.604,12.27,1629639,Tyler Herro,5.156,14.051,7.025,152.51,42.02,61.95
nba_game_0022500332_processed.parquet,Mavericks,144225,2,6:40,8,1642948,Ryan Nembhard,Mavericks,316.04,-516.0,0.0,-215.507,18.156,93.206,12.98,1631323,Simone Fontecchio,3.909,10.945,5.472,134.57,42.97,66.32
nba_game_0022500332_processed.parquet,Mavericks,145711,2,6:16,14,1642948,Ryan Nembhard,Mavericks,348.81,-516.0,0.0,-243.473,-189.478,90.493,13.99,1630558,Davion Mitchell,7.681,15.156,7.578,161.2,42.98,53.12
nba_game_0022500332_processed.parquet,Mavericks,162650,2,4:58,3.2,1631108,Max Christie,Mavericks,297.93,-516.0,0.0,-438.026,-281.225,91.389,9.95,203952,Andrew Wiggins,7.191,6.419,3.21,173.59,44.8,48.9
nba_game_0022500332_processed.parquet,Mavericks,167817,2,3:53,16,1642948,Ryan Nembhard,Mavericks,312.17,-516.0,0.0,-239.434,109.257,92.06,11.44,1641796,Pelle Larsson,7.106,5.849,2.924,171.2,41.62,47.06
nba_game_0022500332_processed.parquet,Mavericks,222246,3,11:02,12,1631108,Max Christie,Mavericks,331.09,516.0,0.0,191.385,11.938,91.217,10.51,1630558,Davion Mitchell,6.427,15.414,7.707,146.52,41.56,57.51
